,UTS Depot,Bus,Route,Run,Operator,Unscheduled PO ,Scheduled PO,Actual PO,PO Diff,PO Depot ,Scheduled PI,Actual PI,PI diff,Depot PI
6395,MQ,9737,,M57-464,102054,,2024-01-06 14:52:00,2024-01-06 15:08:00,+00:16,MQ,2024-01-06 18:18:00,2024-01-07 00:32:00,+06:14,MQ
6396,MQ,9739,M9,M09-68,980092,,2024-01-06 15:00:00,2024-01-06 15:07:00,+00:07,MQ,2024-01-06 20:40:00,2024-01-06 23:28:00,+02:48,MQ
6397,MQ,9739,,M09-68,980092,,2024-01-06 21:20:00,,,,2024-01-06 23:25:00,,,
6398,MQ,9743,M57,M57-462,44661,,2024-01-06 12:31:00,2024-01-06 12:30:00,-00:00,MQ,2024-01-06 20:46:00,2024-01-06 12:32:00,-08:13,MQ
6400,MQ,9748,M20,M20-159,43395,,2024-01-06 12:20:00,2024-01-06 12:24:00,+00:04,MQ,2024-01-06 22:31:00,2024-01-06 22:44:00,+00:13,MQ
6401,MQ,9754,,M21-202,39686,,2024-01-06 06:25:00,2024-01-06 06:30:00,+00:05,MQ,2024-01-06 10:48:00,2024-01-06 15:10:00,+04:22,MQ
6402,MQ,9754,,M21-202,39686,,2024-01-06 11:40:00,,,,2024-01-06 15:18:00,,,
6403,MQ,9781,,M09-59,44675,,2024-01-06 14:40:00,,,,2024-01-06 18:42:00,,,
6404,MQ,9781,M9,M57-457,40551,,2024-01-06 10:49:00,2024-01-06 14:55:00,+04:06,MQ,2024-01-06 19:06:00,2024-01-06 18:47:00,-00:18,MQ
6447,MV,9416,,M116-705,935018,,2024-01-06 07:40:00,2024-01-06 07:30:00,-00:09,MV,2024-01-07 00:10:00,,,
6448,MV,9418,M116,M116-712,46833,,2024-01-06 12:46:00,2024-01-06 12:33:00,-00:12,MV,2024-01-07 01:25:00,,,
6449,MV,9420,,M04-401,34146,,2024-01-06 05:27:00,,,,2024-01-06 22:12:00,,,
6451,MV,9423,M3,M03-318,40897,,2024-01-06 08:57:00,2024-01-06 09:00:00,+00:03,MV,2024-01-06 22:18:00,,,
6452,MV,9424,,M05-531,47094,,2024-01-06 11:18:00,,,,2024-01-07 01:33:00,,,
6454,MV,9428,,M04-439,44436,,2024-01-06 12:39:00,,,,2024-01-06 17:48:00,,,
6456,MV,9429,M2,M02-201,44872,,2024-01-06 00:37:00,2024-01-06 00:39:00,+00:02,MV,2024-01-06 07:32:00,,,
6457,MV,9431,,M05-533,163074,,2024-01-06 12:26:00,,,,2024-01-07 01:45:00,,,
6459,MV,9432,M104,M104-103,46777,,2024-01-06 03:57:00,2024-01-06 05:50:00,+01:53,AM,2024-01-07 01:10:00,2024-01-06 09:01:00,-16:08,AM
6464,MV,9433,M2,M02-210,34912,,2024-01-06 07:50:00,2024-01-06 07:27:00,-00:22,MV,2024-01-06 19:59:00,,,
6465,MV,9434,,M05-507,47034,,2024-01-06 06:45:00,,,,2024-01-07 01:25:00,,,
6466,MV,9435,,M116-702,43362,,2024-01-06 06:40:00,2024-01-06 06:42:00,+00:02,MV,2024-01-06 21:46:00,2024-01-06 06:43:00,-15:02,MV
6468,MV,9436,,M04-408,38859,,2024-01-06 06:58:00,,,,2024-01-06 18:04:00,,,
6469,MV,9437,,M02-220,95171,,2024-01-06 10:18:00,,,,2024-01-06 22:47:00,,,
6470,MV,9439,M4,M04-431,217188,,2024-01-06 11:25:00,2024-01-06 11:23:00,-00:01,MV,2024-01-06 22:49:00,,,
6471,MV,9440,,M04-425,46189,,2024-01-06 10:36:00,,,,2024-01-07 00:38:00,,,
6472,MV,9441,,M66-953,43765,,2024-01-06 04:30:00,,,,2024-01-06 19:39:00,,,
6473,MV,9442,,M03-311,140010,,2024-01-06 07:19:00,2024-01-06 07:15:00,-00:03,MV,2024-01-06 23:54:00,,,
6475,MV,9443,,M116-703,547004,,2024-01-06 06:55:00,,,,2024-01-06 18:12:00,,,
6477,MV,9444,M2,M02-213,43358,,2024-01-06 08:20:00,2024-01-06 08:24:00,+00:04,MV,2024-01-06 20:59:00,2024-01-06 15:02:00,-05:56,MV
6480,MV,9445,M104,M104-107,308010,,2024-01-06 07:49:00,2024-01-06 07:48:00,-00:00,MV,2024-01-07 01:54:00,2024-01-06 09:49:00,-16:04,AM
6485,MV,9446,,M10-4,425072,,2024-01-06 06:20:00,,,,2024-01-06 17:53:00,,,
