,UTS Depot,Bus,Route,Run,Operator,Unscheduled PO ,Scheduled PO,Actual PO,PO Diff,PO Depot ,Scheduled PI,Actual PI,PI diff,Depot PI
0,BP,3984,Q64,Q64-407,10989,,2024-01-06 12:01:00,2024-01-06 11:58:00,-00:02,BP,2024-01-06 20:25:00,2024-01-06 20:20:00,-00:04,BP
1,BP,3985,Q112,Q112-207,11748,,2024-01-06 12:05:00,2024-01-06 12:07:00,+00:02,BP,2024-01-06 20:47:00,2024-01-06 20:54:00,+00:07,BP
2,BP,3995,Q64,Q64-405,7735,,2024-01-06 07:15:00,2024-01-06 07:09:00,-00:05,BP,2024-01-06 16:28:00,2024-01-06 16:21:00,-00:06,BP
3,BP,4119,Q64,Q64-408,10094,,2024-01-06 13:01:00,2024-01-06 12:48:00,-00:12,BP,2024-01-06 21:35:00,,,
5,BP,4122,,Q110-10,11272,,2024-01-06 10:35:00,,,,2024-01-06 18:58:00,,,
6,BP,4210,Q112,Q112-208,10992,,2024-01-06 13:05:00,2024-01-06 12:59:00,-00:05,BP,2024-01-06 21:07:00,2024-01-06 21:22:00,+00:15,BP
8,BP,4520,Q112,Q112-205,11271,,2024-01-06 09:05:00,2024-01-06 09:06:00,+00:01,BP,2024-01-06 17:15:00,2024-01-06 16:06:00,-01:08,BP
9,BP,4601,Q64,Q64-403,9334,,2024-01-06 04:50:00,2024-01-06 04:54:00,+00:04,BP,2024-01-06 13:40:00,2024-01-06 13:35:00,-00:04,BP
10,BP,4626,Q64,Q64-404,10509,,2024-01-06 05:20:00,2024-01-06 05:21:00,+00:01,BP,2024-01-06 13:52:00,2024-01-06 13:47:00,-00:04,BP
11,BP,4626,Q110,Q110-13,11306,,2024-01-06 15:45:00,2024-01-06 15:12:00,-00:32,BP,2024-01-07 00:40:00,2024-01-07 00:41:00,+00:01,BP
12,BP,5383,,Q111-118,9191,,2024-01-06 08:09:00,,,,2024-01-06 18:00:00,,,
14,BP,5384,Q111,Q111-112,8248,,2024-01-06 06:57:00,,,,2024-01-06 16:23:00,2024-01-06 16:24:00,+00:01,BP
16,BP,5386,Q111,Q111-127,9070,,2024-01-06 15:01:00,2024-01-06 15:12:00,+00:11,BP,2024-01-07 00:54:00,2024-01-07 00:50:00,-00:04,BP
17,BP,5388,Q114,Q111-107,10674,,2024-01-06 06:09:00,2024-01-06 06:10:00,+00:01,BP,2024-01-06 14:24:00,2024-01-06 14:20:00,-00:03,BP
18,BP,5388,Q111,Q1134-328,10422,,2024-01-06 16:25:00,2024-01-06 16:26:00,+00:01,BP,2024-01-07 01:10:00,2024-01-07 01:11:00,+00:01,BP
19,BP,5389,Q113,Q1134-318,11035,,2024-01-06 12:57:00,2024-01-06 14:12:00,+01:15,BP,2024-01-06 21:20:00,2024-01-06 21:34:00,+00:14,BP
21,BP,5390,,Q1134-310,7821,,2024-01-06 07:09:00,2024-01-06 22:19:00,-08:49,BP,2024-01-06 17:00:00,2024-01-07 17:00:00,+00:00,BP
24,BP,5391,Q111,Q1134-324,2584,,2024-01-06 15:57:00,2024-01-06 15:58:00,+00:01,BP,2024-01-07 01:27:00,,,
26,BP,5394,Q113,Q111-117,9153,,2024-01-06 08:01:00,2024-01-06 12:28:00,+04:27,BP,2024-01-06 17:21:00,2024-01-06 17:24:00,+00:03,BP
28,BP,5396,Q111,Q1134-319,10510,,2024-01-06 13:09:00,2024-01-06 13:10:00,+00:01,BP,2024-01-06 21:47:00,2024-01-06 21:44:00,-00:02,BP
29,BP,5397,,Q111-115,9918,,2024-01-06 07:48:00,2024-01-06 07:05:00,-00:42,BP,2024-01-06 17:44:00,2024-01-06 17:39:00,-00:04,BP
31,BP,5399,Q113,Q1134-309,8517,,2024-01-06 06:57:00,,,,2024-01-06 15:01:00,2024-01-06 15:05:00,+00:04,BP
32,BP,5399,Q113,Q1134-327,10193,,2024-01-06 16:21:00,2024-01-06 16:12:00,-00:08,BP,2024-01-07 00:57:00,,,
33,BP,5401,Q114,Q1134-302,8698,,2024-01-06 00:30:00,,,,2024-01-06 07:51:00,2024-01-06 07:53:00,+00:02,BP
34,BP,5401,Q114,Q1134-315,7818,,2024-01-06 12:13:00,2024-01-06 11:59:00,-00:13,BP,2024-01-06 22:04:00,2024-01-06 22:05:00,+00:01,BP
35,BP,5402,,Q111-111,11727,,2024-01-06 06:57:00,2024-01-06 06:23:00,-00:33,BP,2024-01-06 15:12:00,2024-01-06 15:13:00,+00:01,BP
36,BP,5402,Q114,Q1134-325,8112,,2024-01-06 16:01:00,2024-01-06 15:51:00,-00:09,BP,2024-01-07 01:46:00,2024-01-07 01:27:00,-00:18,BP
37,BP,5404,Q111,Q111-102,10668,,2024-01-06 00:55:00,,,,2024-01-06 08:29:00,2024-01-06 08:21:00,-00:07,BP
38,BP,5404,Q111,Q111-122,8283,,2024-01-06 10:07:00,2024-01-06 08:54:00,-01:12,BP,2024-01-06 19:25:00,2024-01-06 19:48:00,+00:23,BP
40,BP,5405,,Q1134-304,9941,,2024-01-06 01:00:00,,,,2024-01-06 08:13:00,,,
41,BP,5405,Q111,Q111-121,9357,,2024-01-06 08:55:00,2024-01-06 08:43:00,-00:11,BP,2024-01-06 18:37:00,2024-01-06 21:33:00,+02:56,BP
43,BP,5406,,Q1134-308,7817,,2024-01-06 06:10:00,,,,2024-01-06 14:13:00,,,
44,BP,5406,Q114,Q1134-321,10174,,2024-01-06 14:21:00,2024-01-06 14:19:00,-00:01,BP,2024-01-06 22:58:00,2024-01-06 22:57:00,-00:00,BP
45,BP,5408,,Q111-108,8339,,2024-01-06 06:33:00,2024-01-06 23:37:00,-06:55,BP,2024-01-06 15:27:00,2024-01-07 15:51:00,+00:24,BP
46,BP,5409,Q113,Q1134-307,11023,,2024-01-06 04:50:00,,,,2024-01-06 13:01:00,2024-01-06 13:06:00,+00:05,BP
47,BP,5409,Q111,Q111-125,11736,,2024-01-06 14:09:00,2024-01-06 13:25:00,-00:43,BP,2024-01-06 23:00:00,2024-01-06 23:09:00,+00:09,BP
49,BP,5411,Q114,Q111-109,11170,,2024-01-06 06:41:00,,,,2024-01-06 14:54:00,2024-01-06 14:54:00,+00:00,BP
51,BP,5411,,Q1134-330,11743,,2024-01-06 17:31:00,,,,2024-01-07 01:40:00,,,
52,BP,5412,Q114,Q1134-303,9526,,2024-01-06 00:55:00,2024-01-06 00:58:00,+00:03,BP,2024-01-06 08:05:00,2024-01-06 08:06:00,+00:01,BP
53,BP,5412,Q111,Q111-124,8254,,2024-01-06 11:21:00,2024-01-06 11:02:00,-00:18,BP,2024-01-06 19:29:00,2024-01-07 00:28:00,+04:59,BP
54,BP,5415,Q113,Q1134-320,11192,,2024-01-06 14:09:00,2024-01-06 14:10:00,+00:01,BP,2024-01-06 22:21:00,2024-01-07 02:08:00,+03:47,BP
56,BP,5416,Q114,Q111-106,10131,,2024-01-06 05:18:00,2024-01-06 01:30:00,-03:47,BP,2024-01-06 13:59:00,2024-01-06 14:01:00,+00:02,BP
58,BP,5417,Q111,Q111-120,4509,,2024-01-06 08:12:00,2024-01-06 08:12:00,+00:00,BP,2024-01-06 18:08:00,2024-01-06 18:29:00,+00:21,BP
60,BP,5418,Q111,Q1134-312,10161,,2024-01-06 07:12:00,2024-01-06 07:07:00,-00:04,BP,2024-01-06 15:40:00,2024-01-06 15:38:00,-00:01,BP
62,BP,5419,,Q1134-301,11746,,2024-01-06 00:25:00,,,,2024-01-06 07:37:00,,,
64,BP,5419,Q113,Q111-126,11723,,2024-01-06 14:13:00,2024-01-06 14:09:00,-00:03,BP,2024-01-06 22:30:00,2024-01-06 22:45:00,+00:15,BP
66,BP,5422,Q114,Q1134-305,9870,,2024-01-06 01:30:00,2024-01-06 01:29:00,-00:00,BP,2024-01-06 08:50:00,2024-01-06 08:44:00,-00:05,BP
67,BP,5422,Q114,Q1134-314,9130,,2024-01-06 09:21:00,2024-01-06 08:51:00,-00:29,BP,2024-01-06 19:01:00,2024-01-06 08:52:00,-10:08,BP
69,BP,5424,Q111,Q1134-326,9952,,2024-01-06 16:09:00,2024-01-06 16:00:00,-00:08,BP,2024-01-07 00:40:00,2024-01-07 00:38:00,-00:01,BP
72,BP,5425,,Q111-114,7421,,2024-01-06 07:36:00,2024-01-06 07:14:00,-00:21,BP,2024-01-06 17:20:00,2024-01-06 17:42:00,+00:22,BP
73,BP,5427,Q113,Q111-113,11291,,2024-01-06 07:24:00,,,,2024-01-06 16:18:00,2024-01-06 16:14:00,-00:03,BP
74,BP,5429,Q113,Q111-119,8103,,2024-01-06 08:09:00,2024-01-06 08:01:00,-00:07,BP,2024-01-06 18:04:00,2024-01-06 17:59:00,-00:04,BP
76,BP,5430,,Q111-104,8455,,2024-01-06 03:55:00,2024-01-06 03:42:00,-00:12,BP,2024-01-06 13:29:00,2024-01-06 13:38:00,+00:09,BP
77,BP,5431,,Q1134-313,7006,,2024-01-06 08:33:00,2024-01-06 19:39:00,-12:53,BP,2024-01-06 18:29:00,2024-01-07 18:34:00,+00:05,BP
80,BP,5432,Q111,Q1134-306,8981,,2024-01-06 04:30:00,2024-01-06 04:28:00,-00:01,BP,2024-01-06 13:22:00,2024-01-06 13:19:00,-00:02,BP
81,BP,5432,Q111,Q1134-322,11752,,2024-01-06 14:45:00,2024-01-06 14:47:00,+00:02,BP,2024-01-06 23:21:00,2024-01-06 23:21:00,+00:00,BP
82,BP,5433,Q114,Q1134-317,10675,,2024-01-06 12:45:00,2024-01-06 12:45:00,+00:00,BP,2024-01-06 20:55:00,,,
83,BP,5434,Q111,Q111-101,9047,,2024-01-06 00:45:00,,,,2024-01-06 08:20:00,2024-01-06 08:17:00,-00:02,BP
86,BP,5435,,Q111-103,9885,,2024-01-06 01:15:00,,,,2024-01-06 09:12:00,,,
87,BP,5435,Q111,Q111-123,7769,,2024-01-06 10:45:00,2024-01-06 10:51:00,+00:06,BP,2024-01-06 19:05:00,2024-01-06 19:17:00,+00:12,BP
91,BP,5436,,Q111-116,8552,,2024-01-06 07:59:00,2024-01-06 07:10:00,-00:48,BP,2024-01-06 17:48:00,2024-01-06 17:48:00,+00:00,BP
93,BP,5437,,Q1134-311,9144,,2024-01-06 07:11:00,,,,2024-01-06 16:36:00,,,
95,BP,5438,,Q111-110,11000,,2024-01-06 06:45:00,2024-01-06 20:33:00,-10:11,BP,2024-01-06 14:35:00,2024-01-07 14:41:00,+00:06,BP
96,BP,5438,Q111,Q1134-329,10991,,2024-01-06 17:09:00,2024-01-06 15:01:00,-02:07,BP,2024-01-07 01:16:00,2024-01-07 01:20:00,+00:04,BP
97,BP,8978,Q110,Q112-209,11246,,2024-01-06 13:16:00,2024-01-06 12:42:00,-00:33,BP,2024-01-06 21:34:00,2024-01-06 21:50:00,+00:16,BP
98,BP,8979,Q110,Q110-7,10628,,2024-01-06 07:40:00,2024-01-06 07:37:00,-00:02,BP,2024-01-06 17:00:00,2024-01-06 17:14:00,+00:14,BP
99,BP,8985,Q64,Q64-401,10096,,2024-01-06 23:35:00,2024-01-06 23:36:00,+00:01,BP,2024-01-07 09:11:00,2024-01-07 09:14:00,+00:03,BP
100,BP,8985,Q112,Q110-11,8255,,2024-01-06 10:50:00,2024-01-06 10:51:00,+00:01,BP,2024-01-06 20:37:00,2024-01-06 20:27:00,-00:09,BP
101,BP,8987,Q112,Q112-201,10660,,2024-01-06 05:02:00,2024-01-06 04:59:00,-00:02,BP,2024-01-06 13:17:00,2024-01-06 13:27:00,+00:10,BP
102,BP,8987,Q64,Q64-411,11252,,2024-01-06 16:13:00,2024-01-06 15:58:00,-00:14,BP,2024-01-07 00:09:00,2024-01-07 00:08:00,-00:00,BP
103,BP,8988,Q112,Q112-202,11168,,2024-01-06 05:32:00,2024-01-06 05:32:00,+00:00,BP,2024-01-06 13:54:00,2024-01-06 14:00:00,+00:06,BP
104,BP,8990,Q110,Q110-4,11006,,2024-01-06 05:15:00,2024-01-06 05:17:00,+00:02,BP,2024-01-06 13:24:00,2024-01-06 13:50:00,+00:26,BP
105,BP,8990,Q64,Q64-410,8224,,2024-01-06 15:49:00,2024-01-06 15:28:00,-00:20,BP,2024-01-07 00:29:00,2024-01-07 00:23:00,-00:05,BP
106,BP,8991,Q110,Q110-5,9557,,2024-01-06 06:00:00,2024-01-06 06:04:00,+00:04,BP,2024-01-06 14:04:00,2024-01-06 14:15:00,+00:11,BP
107,BP,8991,Q112,Q110-15,11193,,2024-01-06 16:20:00,2024-01-06 16:10:00,-00:09,BP,2024-01-07 00:35:00,2024-01-07 00:32:00,-00:02,BP
108,BP,8992,Q112,Q112-204,11196,,2024-01-06 07:42:00,2024-01-06 07:38:00,-00:03,BP,2024-01-06 16:04:00,2024-01-06 13:12:00,-02:51,BP
109,BP,8993,Q112,Q112-203,11729,,2024-01-06 07:15:00,2024-01-06 07:17:00,+00:02,BP,2024-01-06 16:02:00,2024-01-06 16:35:00,+00:33,BP
111,BP,8994,Q112,Q110-6,9530,,2024-01-06 07:35:00,2024-01-06 07:18:00,-00:16,BP,2024-01-06 17:34:00,2024-01-06 17:47:00,+00:13,BP
112,BP,8995,Q110,Q110-1,11030,,2024-01-06 00:10:00,2024-01-06 00:13:00,+00:03,BP,2024-01-06 08:56:00,2024-01-06 08:55:00,-00:00,BP
114,BP,8996,Q64,Q64-406,10136,,2024-01-06 08:00:00,2024-01-06 07:52:00,-00:07,BP,2024-01-06 16:16:00,2024-01-06 16:12:00,-00:03,BP
115,BP,8997,Q110,Q110-8,10732,,2024-01-06 08:40:00,2024-01-06 08:27:00,-00:12,BP,2024-01-06 18:24:00,2024-01-06 18:41:00,+00:17,BP
117,BP,8998,,Q112-210,11027,,2024-01-06 13:57:00,2024-01-06 13:57:00,+00:00,BP,2024-01-06 22:20:00,2024-01-06 22:18:00,-00:02,BP
118,BP,9000,Q110,Q110-3,10998,,2024-01-06 04:45:00,2024-01-06 04:39:00,-00:05,BP,2024-01-06 13:04:00,2024-01-06 16:12:00,+03:08,BP
119,BP,9001,Q110,Q110-9,2595,,2024-01-06 09:25:00,2024-01-06 09:23:00,-00:01,BP,2024-01-06 19:07:00,2024-01-06 19:09:00,+00:02,BP
122,BP,9002,Q112,Q112-211,6023,,2024-01-06 15:05:00,2024-01-06 15:08:00,+00:03,BP,2024-01-07 00:34:00,2024-01-07 00:35:00,+00:01,BP
123,BP,9003,Q64,Q64-402,9056,,2024-01-06 00:05:00,2024-01-06 23:56:00,-00:08,BP,2024-01-06 09:23:00,2024-01-07 09:05:00,-00:17,BP
126,BP,9003,Q112,Q112-206,9880,,2024-01-06 11:50:00,2024-01-06 11:16:00,-00:33,BP,2024-01-06 20:42:00,2024-01-06 20:48:00,+00:06,BP
128,BP,9007,Q64,Q64-409,9143,,2024-01-06 15:37:00,2024-01-06 15:26:00,-00:10,BP,2024-01-07 00:24:00,2024-01-07 00:23:00,-00:00,BP
130,BP,9008,Q112,Q110-14,11017,,2024-01-06 15:50:00,2024-01-06 15:35:00,-00:14,BP,2024-01-07 00:47:00,2024-01-07 00:49:00,+00:02,BP
131,BP,9009,Q112,Q110-12,10529,,2024-01-06 12:55:00,2024-01-06 12:57:00,+00:02,BP,2024-01-06 21:20:00,2024-01-06 21:43:00,+00:23,BP
146,CA,2497,SIM33C,SIM33-182,425028,,2024-01-06 08:58:00,2024-01-06 08:51:00,-00:06,CA,2024-01-06 12:27:00,2024-01-06 12:03:00,-00:23,CA
147,CA,2497,SIM3C,MISC-250,634037,,2024-01-06 12:42:00,2024-01-06 12:48:00,+00:06,CA,2024-01-06 16:02:00,2024-01-06 15:59:00,-00:02,CA
148,CA,2497,SIM33C,MISC-365,634037,,2024-01-06 16:13:00,2024-01-06 16:33:00,+00:20,CA,2024-01-06 20:20:00,2024-01-06 20:21:00,+00:01,CA
149,CA,2497,SIM3C,MISC-361,109022,,2024-01-06 21:12:00,2024-01-06 21:15:00,+00:03,CA,2024-01-07 00:12:00,2024-01-07 00:31:00,+00:19,CA
150,CA,2501,,MISC-249,526021,,2024-01-06 07:18:00,2024-01-06 07:24:00,+00:06,CA,2024-01-06 10:38:00,2024-01-06 10:08:00,-00:29,CA
151,CA,2501,SIM3C,MISC-272,580047,,2024-01-06 10:07:00,2024-01-06 10:20:00,+00:13,CA,2024-01-06 13:18:00,2024-01-06 12:56:00,-00:21,CA
152,CA,2501,,MISC-249,526021,,2024-01-06 11:42:00,,,,2024-01-06 15:00:00,,,
153,CA,2501,S53,SIM33-181,27050,,2024-01-06 13:13:00,2024-01-06 13:06:00,-00:06,CA,2024-01-06 17:28:00,2024-01-06 17:20:00,-00:07,CA
154,CA,2501,S53,MISC-388,273114,,2024-01-06 17:43:00,2024-01-06 17:40:00,-00:02,CA,2024-01-06 21:13:00,2024-01-06 21:14:00,+00:01,CA
155,CA,2501,S53,MISC-382,722081,,2024-01-06 23:05:00,2024-01-06 23:01:00,-00:03,CA,2024-01-07 01:39:00,2024-01-07 01:35:00,-00:03,CA
156,CA,2503,SIM3C,MISC-260,913094,,2024-01-06 08:27:00,2024-01-06 08:27:00,+00:00,CA,2024-01-06 11:25:00,2024-01-06 11:22:00,-00:02,CA
158,CA,2503,SIM3C,MISC-338,756307,,2024-01-06 18:43:00,2024-01-06 18:42:00,-00:00,CA,2024-01-06 22:13:00,2024-01-06 22:10:00,-00:02,CA
159,CA,2505,,MISC-338,756307,,2024-01-06 14:12:00,,,,2024-01-06 17:29:00,,,
160,CA,2573,,MISC-218,179023,,2024-01-06 09:38:00,2024-01-06 09:38:00,+00:00,CA,2024-01-06 13:15:00,2024-01-06 13:01:00,-00:13,CA
161,CA,2573,SIM3C,MISC-252,459012,,2024-01-06 13:12:00,2024-01-06 13:15:00,+00:03,CA,2024-01-06 16:29:00,2024-01-06 16:33:00,+00:04,CA
162,CA,2573,SIM3C,MISC-282,29189,,2024-01-06 16:42:00,2024-01-06 17:02:00,+00:20,CA,2024-01-06 19:51:00,2024-01-06 20:04:00,+00:13,CA
164,CA,2580,SIM3C,MISC-221,164486,,2024-01-06 05:27:00,2024-01-06 05:28:00,+00:01,CA,2024-01-06 07:39:00,2024-01-06 07:25:00,-00:13,CA
165,CA,2580,SIM33C,SIM33-180,383007,,2024-01-06 07:58:00,2024-01-06 07:50:00,-00:07,CA,2024-01-06 11:25:00,2024-01-06 11:17:00,-00:07,CA
166,CA,2582,SIM33C,MISC-201,282015,,2024-01-06 06:23:00,2024-01-06 06:27:00,+00:04,CA,2024-01-06 08:56:00,2024-01-06 08:31:00,-00:24,CA
167,CA,2582,SIM3C,MISC-212,282015,,2024-01-06 09:07:00,2024-01-06 09:15:00,+00:08,CA,2024-01-06 12:13:00,2024-01-06 12:08:00,-00:04,CA
168,CA,2582,SIM3C,MISC-253,881125,,2024-01-06 12:12:00,2024-01-06 12:19:00,+00:07,CA,2024-01-06 15:32:00,2024-01-06 15:31:00,-00:00,CA
169,CA,2582,SIM3C,MISC-339,990076,,2024-01-06 19:12:00,2024-01-06 19:29:00,+00:17,CA,2024-01-06 22:17:00,2024-01-06 22:50:00,+00:33,CA
170,CA,2634,SIM3C,MISC-254,377057,,2024-01-06 07:47:00,2024-01-06 07:49:00,+00:02,CA,2024-01-06 10:36:00,2024-01-06 10:43:00,+00:07,CA
171,CA,2634,S46,MISC-222,871065,,2024-01-06 11:12:00,2024-01-06 11:19:00,+00:07,CA,2024-01-06 14:28:00,2024-01-06 14:15:00,-00:12,CA
172,CA,2646,SIM3C,MISC-271,7068,,2024-01-06 09:27:00,2024-01-06 09:26:00,-00:00,CA,2024-01-06 12:32:00,2024-01-06 12:01:00,-00:30,CA
173,CA,2646,SIM33C,MISC-335,29174,,2024-01-06 13:35:00,2024-01-06 13:44:00,+00:09,CA,2024-01-06 16:26:00,2024-01-06 16:28:00,+00:02,CA
174,CA,2646,S40,MISC-381,385103,,2024-01-06 16:43:00,2024-01-06 16:45:00,+00:02,CA,2024-01-06 20:48:00,2024-01-06 21:00:00,+00:12,CA
175,CA,2646,,MISC-368,149085,,2024-01-06 22:35:00,,,,2024-01-07 01:09:00,,,
176,CA,2647,,MISC-219,612046,,2024-01-06 05:18:00,2024-01-06 05:26:00,+00:08,CA,2024-01-06 07:48:00,2024-01-06 07:15:00,-00:32,CA
177,CA,2647,SIM33C,MISC-252,459012,,2024-01-06 07:38:00,2024-01-06 07:40:00,+00:02,CA,2024-01-06 11:02:00,2024-01-06 10:57:00,-00:04,CA
178,CA,2647,SIM33C,MISC-243,733024,,2024-01-06 11:13:00,2024-01-06 11:12:00,-00:00,CA,2024-01-06 14:54:00,2024-01-06 14:48:00,-00:05,CA
179,CA,2647,,MISC-272,580047,,2024-01-06 15:13:00,2024-01-06 15:19:00,+00:06,CA,2024-01-06 19:25:00,2024-01-06 19:21:00,-00:03,CA
180,CA,2647,SIM3C,MISC-344,587125,,2024-01-06 19:42:00,2024-01-06 19:43:00,+00:01,CA,2024-01-06 22:47:00,2024-01-06 22:41:00,-00:05,CA
181,CA,2649,SIM3C,MISC-230,327271,,2024-01-06 10:47:00,2024-01-06 10:49:00,+00:02,CA,2024-01-06 13:58:00,2024-01-06 13:40:00,-00:17,CA
182,CA,2649,S53,SIM33-184,807084,,2024-01-06 14:43:00,2024-01-06 14:46:00,+00:03,CA,2024-01-06 18:55:00,2024-01-06 19:20:00,+00:25,CA
183,CA,2649,SIM3C,MISC-357,995076,,2024-01-06 20:42:00,2024-01-06 20:51:00,+00:09,CA,2024-01-06 23:45:00,2024-01-06 23:43:00,-00:01,CA
184,CA,2650,SIM3C,MISC-227,714033,,2024-01-06 05:57:00,2024-01-06 06:03:00,+00:06,CA,2024-01-06 08:28:00,2024-01-06 08:30:00,+00:02,CA
185,CA,2650,SIM33C,MISC-215,662156,,2024-01-06 09:18:00,2024-01-06 09:17:00,-00:00,CA,2024-01-06 12:52:00,2024-01-06 12:49:00,-00:02,CA
186,CA,2650,SIM33C,SIM33-182,425028,,2024-01-06 14:13:00,2024-01-06 14:05:00,-00:07,CA,2024-01-06 18:25:00,2024-01-06 18:09:00,-00:15,CA
187,CA,2650,SIM3C,MISC-334,814060,,2024-01-06 18:42:00,2024-01-06 18:50:00,+00:08,CA,2024-01-06 21:47:00,2024-01-06 21:50:00,+00:03,CA
188,CA,2651,,MISC-228,244018,,2024-01-06 05:58:00,2024-01-06 06:04:00,+00:06,CA,2024-01-06 08:45:00,2024-01-06 08:56:00,+00:11,CA
189,CA,2651,S53,MISC-213,426125,,2024-01-06 09:47:00,2024-01-06 09:06:00,-00:40,CA,2024-01-06 12:54:00,2024-01-06 12:35:00,-00:18,CA
190,CA,2651,SIM33C,SIM33-183,544036,,2024-01-06 13:43:00,2024-01-06 13:29:00,-00:13,CA,2024-01-06 17:58:00,2024-01-06 18:12:00,+00:14,CA
191,CA,2651,SIM33C,SIM33-183,544036,,2024-01-06 19:13:00,2024-01-06 18:55:00,-00:17,CA,2024-01-06 22:43:00,2024-01-06 23:07:00,+00:24,CA
193,CA,2655,SIM3C,MISC-263,471061,,2024-01-06 08:47:00,2024-01-06 08:51:00,+00:04,CA,2024-01-06 11:49:00,2024-01-06 11:23:00,-00:25,CA
194,CA,2655,SIM3C,MISC-249,526021,,2024-01-06 11:42:00,2024-01-06 11:45:00,+00:03,CA,2024-01-06 15:00:00,2024-01-06 14:40:00,-00:19,CA
195,CA,2655,SIM3C,MISC-387,115053,,2024-01-06 17:12:00,2024-01-06 17:11:00,-00:00,CA,2024-01-06 20:18:00,2024-01-06 21:09:00,+00:51,CA
196,CA,2656,SIM33C,MISC-244,644062,,2024-01-06 06:58:00,2024-01-06 07:08:00,+00:10,CA,2024-01-06 10:18:00,2024-01-06 15:05:00,+04:47,CA
197,CA,2656,,MISC-244,644062,,2024-01-06 11:43:00,,,,2024-01-06 15:26:00,,,
199,CA,2659,,MISC-386,241048,,2024-01-06 23:20:00,2024-01-06 22:38:00,-00:41,CA,2024-01-07 01:41:00,2024-01-07 01:18:00,-00:22,CA
200,CA,2659,SIM3C,MISC-256,564071,,2024-01-06 08:07:00,2024-01-06 08:07:00,+00:00,CA,2024-01-06 10:57:00,2024-01-06 10:40:00,-00:16,CA
201,CA,2659,SIM33C,MISC-237,432080,,2024-01-06 10:48:00,2024-01-06 10:53:00,+00:05,CA,2024-01-06 14:24:00,2024-01-06 14:17:00,-00:06,CA
203,CA,2661,SIM3C,MISC-251,662155,,2024-01-06 07:27:00,2024-01-06 07:36:00,+00:09,CA,2024-01-06 10:16:00,2024-01-06 10:11:00,-00:04,CA
206,CA,2661,,MISC-385,362003,,2024-01-06 22:50:00,,,,2024-01-07 01:11:00,,,
207,CA,2663,SIM3C,MISC-247,981039,,2024-01-06 07:07:00,2024-01-06 07:07:00,+00:00,CA,2024-01-06 09:56:00,2024-01-06 09:58:00,+00:02,CA
208,CA,2663,SIM3C,MISC-217,716078,,2024-01-06 10:27:00,2024-01-06 10:33:00,+00:06,CA,2024-01-06 13:38:00,2024-01-06 13:04:00,-00:34,CA
209,CA,2663,SIM3C,MISC-270,899122,,2024-01-06 13:42:00,2024-01-06 13:49:00,+00:07,CA,2024-01-06 17:04:00,2024-01-06 17:16:00,+00:12,CA
210,CA,2663,SIM3C,MISC-331,906108,,2024-01-06 18:12:00,2024-01-06 18:18:00,+00:06,CA,2024-01-06 21:17:00,2024-01-06 21:13:00,-00:03,CA
211,CA,2665,S53,MISC-202,334128,,2024-01-06 06:38:00,2024-01-06 06:37:00,-00:00,CA,2024-01-06 09:48:00,2024-01-06 09:42:00,-00:05,CA
212,CA,2665,S40,MISC-224,862708,,2024-01-06 09:58:00,2024-01-06 10:10:00,+00:12,CA,2024-01-06 13:35:00,2024-01-06 13:14:00,-00:20,CA
213,CA,2665,SIM3C,MISC-273,862708,,2024-01-06 14:42:00,2024-01-06 14:43:00,+00:01,CA,2024-01-06 17:59:00,2024-01-06 17:58:00,-00:00,CA
214,CA,2670,SIM33C,SIM33-181,27050,,2024-01-06 08:18:00,2024-01-06 08:08:00,-00:09,CA,2024-01-06 11:46:00,2024-01-06 11:16:00,-00:29,CA
215,CA,2670,SIM33C,MISC-255,5494,,2024-01-06 12:13:00,2024-01-06 12:09:00,-00:03,CA,2024-01-06 15:56:00,2024-01-06 15:43:00,-00:12,CA
216,CA,2670,S53,MISC-278,758037,,2024-01-06 15:43:00,2024-01-06 16:01:00,+00:18,CA,2024-01-06 19:55:00,2024-01-06 19:47:00,-00:07,CA
217,CA,2670,SIM33C,SIM33-184,807084,,2024-01-06 20:43:00,2024-01-06 20:44:00,+00:01,CA,2024-01-07 00:13:00,2024-01-07 00:09:00,-00:03,CA
218,CA,2673,S53,MISC-207,222032,,2024-01-06 08:38:00,2024-01-06 08:36:00,-00:01,CA,2024-01-06 12:07:00,2024-01-06 12:06:00,-00:00,CA
219,CA,2673,SIM33C,SIM33-180,383007,,2024-01-06 12:43:00,2024-01-06 12:38:00,-00:04,CA,2024-01-06 16:56:00,2024-01-06 17:06:00,+00:10,CA
220,CA,2673,S40,MISC-287,11268,,2024-01-06 17:13:00,2024-01-06 17:17:00,+00:04,CA,2024-01-06 20:09:00,2024-01-06 20:11:00,+00:02,CA
221,CA,2673,SIM3C,MISC-348,125089,,2024-01-06 20:12:00,2024-01-06 20:27:00,+00:15,CA,2024-01-06 23:17:00,2024-01-06 23:08:00,-00:08,CA
222,CA,7001,,MISC-333,727111,,2024-01-06 13:10:00,2024-01-06 13:15:00,+00:05,CA,2024-01-06 17:21:00,2024-01-06 17:17:00,-00:03,CA
223,CA,7003,S53,MISC-211,217205,,2024-01-06 04:38:00,2024-01-06 04:30:00,-00:07,CA,2024-01-06 07:30:00,2024-01-06 07:31:00,+00:01,CA
